n,D (mm),ΔD (mm)
0,25.22,0.0
10,25.31,0.08999999999999986
20,25.38,0.16000000000000014
30,25.46,0.240000000000002
40,25.53,0.3100000000000023
50,25.59,0.370000000000001
60,25.66,0.4400000000000013
70,25.72,0.5
80,25.78,0.5600000000000023
90,25.85,0.6300000000000026
110,25.98,0.7600000000000016
120,26.04,0.8200000000000003
130,26.12,0.9000000000000021
140,26.18,0.9600000000000009
150,26.24,1.0199999999999996
160,26.31,1.0899999999999999
170,26.37,1.1500000000000021
180,26.44,1.2200000000000024
190,26.52,1.3000000000000007
200,26.58,1.3599999999999994
210,26.65,1.4299999999999997
